dates,values
19-09-2022,149.100006
20-09-2022,153.080002
21-09-2022,153.600006
22-09-2022,150.910004
23-09-2022,148.559998
26-09-2022,149.639999
27-09-2022,149.949997
28-09-2022,144.839996
29-09-2022,140.679993
30-09-2022,138
03-10-2022,137.690002
04-10-2022,144.259995
05-10-2022,143.009995
06-10-2022,145.220001
07-10-2022,139.449997
10-10-2022,138.570007
11-10-2022,138.220001
12-10-2022,138.160004
13-10-2022,134.369995
14-10-2022,138.190002
17-10-2022,140.270004
18-10-2022,140.610001
19-10-2022,141.5
20-10-2022,142.649994
21-10-2022,142.649994
24-10-2022,146
25-10-2022,149.360001
26-10-2022,148.039993
27-10-2022,144.130005
28-10-2022,147.820007
31-10-2022,151.919998
01-11-2022,149.130005
02-11-2022,145
03-11-2022,138.75
04-11-2022,134.380005
07-11-2022,135.669998
08-11-2022,137.490005
09-11-2022,134.589996
10-11-2022,139.5
11-11-2022,144.369995
14-11-2022,147.429993
15-11-2022,148.559998
16-11-2022,147.289993
17-11-2022,146.149994
18-11-2022,149.970001
21-11-2022,147.720001
22-11-2022,146.929993
23-11-2022,149.339996
25-11-2022,147.119995
28-11-2022,143.380005
29-11-2022,140.350006
30-11-2022,140.550003
01-12-2022,146.610001
02-12-2022,145.649994
05-12-2022,145.770004
06-12-2022,141.919998
07-12-2022,140
08-12-2022,141.100006
09-12-2022,140.899994
12-12-2022,141.059998
13-12-2022,144.240005
14-12-2022,141.160004
15-12-2022,136.029999
16-12-2022,133.729996
19-12-2022,131.320007
20-12-2022,129.889999
21-12-2022,132.75
22-12-2022,130.300003
23-12-2022,129.639999
27-12-2022,128.720001
28-12-2022,125.870003
29-12-2022,127.730003
30-12-2022,127.43
03-01-2023,124.169998
04-01-2023,125.080002
05-01-2023,124.760002
06-01-2023,124.889999
09-01-2023,129.889999
10-01-2023,128.119995
11-01-2023,130.460007
12-01-2023,131.440002
13-01-2023,131.660004
17-01-2023,134.130005
18-01-2023,135.029999
19-01-2023,133.770004
20-01-2023,134.220001
23-01-2023,137.899994
24-01-2023,140.300003
25-01-2023,138.809998
26-01-2023,141.899994
27-01-2023,143.080002
30-01-2023,142.850006
31-01-2023,142.279999
01-02-2023,141.320007
02-02-2023,148.169998
03-02-2023,147.830002
06-02-2023,150.779999
07-02-2023,150.639999
08-02-2023,151.169998
09-02-2023,150.419998
10-02-2023,149.220001
13-02-2023,150.919998
14-02-2023,150.860001
15-02-2023,152.880005
16-02-2023,153.350006
17-02-2023,150.850006
21-02-2023,148.410004
22-02-2023,147.160004
23-02-2023,147.240005
24-02-2023,145.720001
27-02-2023,147.449997
28-02-2023,146.830002
01-03-2023,145.009995
02-03-2023,143.899994
03-03-2023,147.330002
06-03-2023,153.460007
07-03-2023,151.130005
08-03-2023,151.830002
09-03-2023,150.229996
10-03-2023,147.610001
13-03-2023,147.699997
14-03-2023,150.100006
15-03-2023,149.919998
16-03-2023,151.639999
17-03-2023,154.279999
20-03-2023,154.149994
21-03-2023,156.539993
22-03-2023,157.809998
23-03-2023,157.679993
24-03-2023,157.850006
27-03-2023,157.869995
28-03-2023,155.979996
29-03-2023,159.350006
30-03-2023,161.270004
31-03-2023,161.910004
03-04-2023,164.220001
04-04-2023,165.110001
05-04-2023,161.800003
06-04-2023,162
10-04-2023,160.080002
11-04-2023,160.509995
12-04-2023,159.779999
13-04-2023,161.419998
14-04-2023,163.820007
17-04-2023,164.029999
18-04-2023,165.649994
