dates,values
01-11-2019,654321
02-11-2019,123456
03-11-2019,789012
04-11-2019,345678
05-11-2019,901234
06-11-2019,567890
07-11-2019,234567
08-11-2019,890123
09-11-2019,456789
10-11-2019,123098
11-11-2019,987654
12-11-2019,321098
13-11-2019,234512
14-11-2019,653420
15-11-2019,125378
16-11-2019,964327
17-11-2019,578964
18-11-2019,813264
19-11-2019,427983
20-11-2019,651249
21-11-2019,307518
22-11-2019,204763
23-11-2019,973561
24-11-2019,586493
25-11-2019,419286
26-11-2019,837659
27-11-2019,245798
28-11-2019,673184
29-11-2019,548792
30-11-2019,310784
01-12-2019,129864
02-12-2019,586791
03-12-2019,324879
04-12-2019,768905
05-12-2019,982317
06-12-2019,436289
07-12-2019,726984
08-12-2019,891276
09-12-2019,457618
10-12-2019,635891
11-12-2019,821364
12-12-2019,913578
13-12-2019,734951
14-12-2019,849362
15-12-2019,531978
16-12-2019,694531
17-12-2019,758496
18-12-2019,831649
19-12-2019,529318
20-12-2019,784623
21-12-2019,263785
22-12-2019,945617
23-12-2019,136824
24-12-2019,907365
25-12-2019,184927
26-12-2019,362845
27-12-2019,916842
28-12-2019,725368
29-12-2019,439182
30-12-2019,681753
31-12-2019,273594
01-01-2020,605183
02-01-2020,471839
03-01-2020,865219
04-01-2020,328461
05-01-2020,497285
06-01-2020,603194
07-01-2020,812576
08-01-2020,976542
09-01-2020,583217
10-01-2020,298574
11-01-2020,701986
12-01-2020,465379
13-01-2020,892601
14-01-2020,374156
15-01-2020,268943
16-01-2020,510279
17-01-2020,798634
18-01-2020,251409
19-01-2020,837126
20-01-2020,604189
21-01-2020,729853
22-01-2020,438219
23-01-2020,196783
24-01-2020,540182
25-01-2020,739164
26-01-2020,231968
27-01-2020,486295
28-01-2020,320184
29-01-2020,105786
30-01-2020,938642
31-01-2020,457829
01-02-2020,398461
02-02-2020,129385
03-02-2020,856231
04-02-2020,907216
05-02-2020,738491
06-02-2020,405129
07-02-2020,164823
08-02-2020,271854
09-02-2020,509137
10-02-2020,380269
11-02-2020,276985
12-02-2020,409217
13-02-2020,123548
14-02-2020,670132
15-02-2020,412596
16-02-2020,783492
17-02-2020,598461
18-02-2020,209378
19-02-2020,475182
20-02-2020,893561
21-02-2020,205816
22-02-2020,634529
23-02-2020,392157
24-02-2020,586239
25-02-2020,481957
26-02-2020,726859
27-02-2020,208534
28-02-2020,907216
29-02-2020,543298
01-03-2020,897263
02-03-2020,139268
03-03-2020,503187
04-03-2020,726148
05-03-2020,190347
06-03-2020,501823
07-03-2020,620198
08-03-2020,354821
09-03-2020,907612
10-03-2020,981263
11-03-2020,746329
12-03-2020,598410
13-03-2020,813965
14-03-2020,437192
15-03-2020,592183
16-03-2020,671829
17-03-2020,938756
18-03-2020,209385
19-03-2020,817263
20-03-2020,346985
21-03-2020,120849
22-03-2020,301856
23-03-2020,492861
24-03-2020,730164
25-03-2020,572196
26-03-2020,164598
27-03-2020,324519
28-03-2020,274685
29-03-2020,816934
30-03-2020,405129
31-03-2020,263714
