Date,Open,High,Low,Close,Volume
03/01/2024,"179.55","180.53","177.38","179.66","73,563,078"
02/29/2024,"181.27","182.57","179.53","180.75","136,682,594"
02/28/2024,"182.51","183.12","180.13","181.42","48,953,941"
02/27/2024,"181.10","183.92","179.56","182.63","54,318,848"
02/26/2024,"182.24","182.76","180.65","181.16","40,867,422"
02/23/2024,"185.01","185.04","182.23","182.52","45,119,680"
02/22/2024,"183.48","184.96","182.46","184.37","52,292,207"
02/21/2024,"181.94","182.89","180.66","182.32","41,529,672"
02/20/2024,"181.79","182.43","180.00","181.56","53,665,551"
02/16/2024,"183.42","184.85","181.67","182.31","49,752,473"
02/15/2024,"183.55","184.49","181.35","183.86","65,434,500"
02/14/2024,"185.32","185.53","182.44","184.15","54,630,520"
02/13/2024,"185.77","186.21","183.51","185.04","56,529,527"
02/12/2024,"188.42","188.67","186.79","187.15","41,781,930"
02/09/2024,"188.65","189.99","188.00","188.85","45,155,219"
02/08/2024,"189.39","189.54","187.35","188.32","40,962,047"
02/07/2024,"190.64","191.05","188.61","189.41","53,438,961"
02/06/2024,"186.86","189.31","186.77","189.30","43,490,762"
02/05/2024,"188.15","189.25","185.84","187.68","69,668,812"
02/02/2024,"179.86","187.33","179.25","185.85","102,551,695"
02/01/2024,"183.99","186.95","183.82","186.86","64,885,406"
01/31/2024,"187.04","187.10","184.35","184.40","55,467,801"
