dates,values
03-03-2023,253.211807
06-03-2023,254.778961
07-03-2023,252.081085
08-03-2023,251.634735
09-03-2023,250.265991
10-03-2023,246.56636
13-03-2023,251.852966
14-03-2023,258.667023
15-03-2023,263.279175
16-03-2023,273.951599
17-03-2023,277.155334
20-03-2023,270.013885
21-03-2023,271.5513
22-03-2023,270.073425
23-03-2023,275.399689
24-03-2023,278.286041
27-03-2023,274.130127
28-03-2023,272.989532
29-03-2023,278.226532
30-03-2023,281.737671
31-03-2023,285.953064
03-04-2023,284.891815
04-04-2023,284.842194
05-04-2023,282.02533
06-04-2023,289.226257
10-04-2023,287.034241
11-04-2023,280.527618
12-04-2023,281.182251
13-04-2023,287.48056
14-04-2023,283.810699
17-04-2023,286.449005
18-04-2023,286.022491
19-04-2023,286.101868
20-04-2023,283.780884
21-04-2023,283.433777
24-04-2023,279.476257
25-04-2023,273.177948
26-04-2023,292.965546
27-04-2023,302.348511
28-04-2023,304.758728
01-05-2023,303.072601
02-05-2023,302.923828
03-05-2023,301.922028
04-05-2023,302.923828
05-05-2023,308.121155
08-05-2023,306.137451
09-05-2023,304.500885
10-05-2023,309.767639
11-05-2023,307.585571
12-05-2023,306.454834
15-05-2023,306.940857
16-05-2023,309.202301
17-05-2023,312.124725
18-05-2023,316.617737
19-05-2023,316.438782
22-05-2023,319.261841
23-05-2023,313.377197
24-05-2023,311.975616
25-05-2023,323.973511
26-05-2023,330.901947
30-05-2023,329.231934
31-05-2023,326.428802
01-06-2023,330.593719
02-06-2023,333.396912
05-06-2023,333.933716
06-06-2023,331.687164
07-06-2023,321.4487
08-06-2023,323.317474
09-06-2023,324.838348
12-06-2023,329.868134
13-06-2023,332.293549
14-06-2023,335.325348
15-06-2023,346.021057
16-06-2023,340.285522
20-06-2023,336.031097
21-06-2023,331.567871
22-06-2023,337.681183
23-06-2023,333.019165
26-06-2023,326.637543
27-06-2023,332.571869
28-06-2023,333.844238
29-06-2023,333.048981
30-06-2023,338.506226
03-07-2023,335.971436
05-07-2023,336.130493
06-07-2023,339.231873
07-07-2023,335.206055
10-07-2023,329.848206
11-07-2023,330.484436
12-07-2023,335.186157
13-07-2023,340.613556
14-07-2023,343.178162
17-07-2023,343.665222
18-07-2023,357.343018
19-07-2023,352.959381
20-07-2023,344.798431
21-07-2023,341.716919
24-07-2023,343.04892
25-07-2023,348.883881
26-07-2023,335.752777
27-07-2023,328.744843
28-07-2023,336.349182
31-07-2023,333.913818
01-08-2023,334.331299
02-08-2023,325.544098
03-08-2023,324.709106
04-08-2023,325.822418
07-08-2023,328.138489
08-08-2023,324.102753
09-08-2023,320.305603
10-08-2023,321.001373
11-08-2023,319.092865
14-08-2023,322.104797
15-08-2023,319.937744
16-08-2023,319.160797
17-08-2023,315.654449
18-08-2023,315.255981
21-08-2023,320.635101
22-08-2023,321.21283
23-08-2023,325.735291
