dates,values
24-03-2023,5852100
27-03-2023,8170100
28-03-2023,6378900
29-03-2023,5233600
30-03-2023,5640700
31-03-2023,10476300
03-04-2023,8410900
04-04-2023,6651500
05-04-2023,7478800
06-04-2023,9146200
10-04-2023,8681500
11-04-2023,8196000
12-04-2023,8040300
13-04-2023,6240200
14-04-2023,6485100
17-04-2023,4772400
18-04-2023,7219400
19-04-2023,4766200
20-04-2023,5815500
21-04-2023,7335800
24-04-2023,4901700
25-04-2023,5768800
26-04-2023,6395500
27-04-2023,5615700
28-04-2023,8498500
01-05-2023,5459800
02-05-2023,5995100
03-05-2023,6744800
04-05-2023,5038200
05-05-2023,8062700
08-05-2023,5314800
09-05-2023,6333500
10-05-2023,5935300
11-05-2023,5144500
12-05-2023,4994700
15-05-2023,4443700
16-05-2023,6896500
17-05-2023,9436000
18-05-2023,10005700
19-05-2023,8558900
22-05-2023,5890500
23-05-2023,10047300
24-05-2023,6815900
25-05-2023,16729600
26-05-2023,13994100
30-05-2023,10296700
31-05-2023,13713500
01-06-2023,7835900
02-06-2023,8651600
05-06-2023,7442000
06-06-2023,7023000
07-06-2023,9842500
08-06-2023,9526700
09-06-2023,12580100
12-06-2023,39081500
13-06-2023,39190900
14-06-2023,26264200
15-06-2023,27476700
16-06-2023,19511500
20-06-2023,16273000
21-06-2023,17583000
22-06-2023,12203400
23-06-2023,19731600
26-06-2023,8987000
27-06-2023,6970400
28-06-2023,9240500
29-06-2023,9234300
30-06-2023,13700600
03-07-2023,4284700
05-07-2023,8466500
06-07-2023,7982800
07-07-2023,7000800
10-07-2023,6931000
11-07-2023,6118600
12-07-2023,11011600
13-07-2023,9359600
14-07-2023,7720900
17-07-2023,6735900
18-07-2023,8906700
19-07-2023,7609000
20-07-2023,12913000
21-07-2023,9157300
24-07-2023,6200400
25-07-2023,6266300
26-07-2023,8160000
27-07-2023,7843000
28-07-2023,6910400
31-07-2023,6703100
01-08-2023,5246000
02-08-2023,6387800
03-08-2023,5193800
04-08-2023,5577500
07-08-2023,7347000
08-08-2023,4694800
09-08-2023,6542400
10-08-2023,6004100
11-08-2023,5286300
14-08-2023,6494200
15-08-2023,10412200
16-08-2023,5722000
17-08-2023,6183900
18-08-2023,9411600
21-08-2023,5811200
22-08-2023,4961100
23-08-2023,16517300
24-08-2023,11995900
25-08-2023,8758100
28-08-2023,4514800
29-08-2023,11920500
30-08-2023,5601800
31-08-2023,9109800
01-09-2023,6189900
05-09-2023,11089600
06-09-2023,8728500
07-09-2023,11864400
08-09-2023,10595500
11-09-2023,22155600
12-09-2023,68605700
13-09-2023,27171000
14-09-2023,19849700
15-09-2023,23209500
18-09-2023,11744100
19-09-2023,9536100
20-09-2023,8777100
21-09-2023,12645800
22-09-2023,11150000
25-09-2023,8410000
26-09-2023,13209000
27-09-2023,8916400
28-09-2023,7373600
29-09-2023,7296100
02-10-2023,5963500
03-10-2023,8783300
04-10-2023,8842700
05-10-2023,7651500
06-10-2023,8245600
09-10-2023,6012400
10-10-2023,6910400
11-10-2023,5641700
12-10-2023,6598500
13-10-2023,5879400
16-10-2023,5488000
17-10-2023,5261800
18-10-2023,5123900
19-10-2023,7989200
20-10-2023,21828800
23-10-2023,10722600
24-10-2023,6174000
25-10-2023,7081700
26-10-2023,7565600
27-10-2023,5207900
30-10-2023,5433700
31-10-2023,6258400
01-11-2023,8602400
02-11-2023,5918300
03-11-2023,7278500
06-11-2023,6062800
07-11-2023,7412600
08-11-2023,10994900
09-11-2023,6853900
10-11-2023,5233900
13-11-2023,5740500
14-11-2023,6733700
15-11-2023,7386200
16-11-2023,7476100
17-11-2023,4791300
20-11-2023,5728300
21-11-2023,5995300
22-11-2023,4343700
24-11-2023,2168200
27-11-2023,5165300
28-11-2023,4892600
29-11-2023,6127200
30-11-2023,11075600
01-12-2023,5738000
04-12-2023,5587500
05-12-2023,5913600
06-12-2023,7815700
07-12-2023,6772800
08-12-2023,7753900
11-12-2023,19544200
12-12-2023,57666500
13-12-2023,29392200
14-12-2023,22865200
15-12-2023,30198200
18-12-2023,13473100
19-12-2023,10108500
20-12-2023,9242000
21-12-2023,8168000
22-12-2023,5678300
26-12-2023,5767400
27-12-2023,5627400
28-12-2023,5689100
29-12-2023,6897200
02-01-2024,9597500
03-01-2024,9455600
04-01-2024,6822300
05-01-2024,6131500
08-01-2024,7038700
09-01-2024,6725200
10-01-2024,7270500
11-01-2024,6119000
12-01-2024,9696700
16-01-2024,7547200
17-01-2024,7771500
18-01-2024,10362300
19-01-2024,11121300
22-01-2024,7485300
23-01-2024,9185900
24-01-2024,11702700
25-01-2024,8877200
26-01-2024,5541800
29-01-2024,7014400
30-01-2024,8231900
31-01-2024,7386700
01-02-2024,7882200
02-02-2024,6499400
05-02-2024,8084500
06-02-2024,4637500
07-02-2024,7672900
08-02-2024,4472800
09-02-2024,5787100
12-02-2024,5439600
13-02-2024,8171700
14-02-2024,5946100
15-02-2024,8455600
16-02-2024,8931100
20-02-2024,10975600
21-02-2024,7867600
22-02-2024,8957800
23-02-2024,7504500
26-02-2024,6342900
27-02-2024,6593100
28-02-2024,5278300
29-02-2024,12193900
01-03-2024,7603700
04-03-2024,6588100
05-03-2024,8242000
06-03-2024,6706400
07-03-2024,7670100
08-03-2024,8304100
11-03-2024,20438300
12-03-2024,48536100
13-03-2024,15870300
14-03-2024,10965900
15-03-2024,17841600
18-03-2024,12231400
19-03-2024,10221000
20-03-2024,8373300
21-03-2024,17842400
22-03-2024,6655800
