dates,values
01-01-2024,984563
02-01-2024,754102
03-01-2024,630245
04-01-2024,892176
05-01-2024,457893
06-01-2024,569821
07-01-2024,320987
08-01-2024,875632
09-01-2024,431098
10-01-2024,987654
11-01-2024,546321
12-01-2024,789012
13-01-2024,213546
14-01-2024,896745
15-01-2024,421089
16-01-2024,652301
17-01-2024,874203
18-01-2024,543217
19-01-2024,908765
20-01-2024,123456
21-01-2024,765432
22-01-2024,987013
23-01-2024,456789
24-01-2024,890123
25-01-2024,109876
26-01-2024,876543
27-01-2024,345678
28-01-2024,987654
29-01-2024,543210
30-01-2024,201345
